order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FMR32603203,01-Mar-22,789603,25891203,460,02-Mar-22,03-Mar-22,460,1,0,1
FMR33401603,01-Mar-22,789401,25891203,429,03-Mar-22,03-Mar-22,429,1,1,1
FMR32320302,01-Mar-22,789320,25891203,347,02-Mar-22,02-Mar-22,347,1,1,1
FMR33320501,01-Mar-22,789320,25891203,187,03-Mar-22,03-Mar-22,150,0,1,0
FMR34220601,01-Mar-22,789220,25891203,235,04-Mar-22,04-Mar-22,235,1,1,1
FMR33703603,01-Mar-22,789703,25891203,176,03-Mar-22,03-Mar-22,176,1,1,1
FMR33721603,01-Mar-22,789721,25891203,345,03-Mar-22,03-Mar-22,345,1,1,1
FMR33420203,01-Mar-22,789420,25891203,138,03-Mar-22,06-Mar-22,138,1,0,1
FMR34420402,01-Mar-22,789420,25891203,381,04-Mar-22,05-Mar-22,381,1,0,1
FMR32403401,01-Mar-22,789403,25891203,348,02-Mar-22,02-Mar-22,348,1,1,1
FMR34121203,01-Mar-22,789121,25891203,480,04-Mar-22,06-Mar-22,480,1,0,1
FMR32501601,01-Mar-22,789501,25891203,478,02-Mar-22,02-Mar-22,478,1,1,1
FMR34501203,01-Mar-22,789501,25891203,491,04-Mar-22,04-Mar-22,491,1,1,1
FMR34102602,01-Mar-22,789102,25891203,407,04-Mar-22,04-Mar-22,387,0,1,0
FMR33902203,01-Mar-22,789902,25891203,299,03-Mar-22,03-Mar-22,299,1,1,1
FMR34903603,01-Mar-22,789903,25891203,329,04-Mar-22,04-Mar-22,329,1,1,1
FMR32421203,01-Mar-22,789421,25891203,441,02-Mar-22,03-Mar-22,419,0,0,0
FMR33421203,01-Mar-22,789421,25891203,104,03-Mar-22,06-Mar-22,99,0,0,0
FMR33402203,01-Mar-22,789402,25891203,491,03-Mar-22,05-Mar-22,491,1,0,1
FMR33621603,01-Mar-22,789621,25891203,138,03-Mar-22,03-Mar-22,138,1,1,1
FMR34520301,01-Mar-22,789520,25891203,172,04-Mar-22,04-Mar-22,155,0,1,0
FMR33702302,01-Mar-22,789702,25891302,38,03-Mar-22,03-Mar-22,30,0,1,0
FMR32320302,01-Mar-22,789320,25891302,54,02-Mar-22,02-Mar-22,54,1,1,1
FMR34603302,01-Mar-22,789603,25891302,37,04-Mar-22,04-Mar-22,37,1,1,1
FMR34721502,01-Mar-22,789721,25891302,63,04-Mar-22,05-Mar-22,60,0,0,0
FMR33621302,01-Mar-22,789621,25891302,56,03-Mar-22,04-Mar-22,56,1,0,1
FMR32520302,01-Mar-22,789520,25891302,54,02-Mar-22,03-Mar-22,49,0,0,0
FMR33520601,01-Mar-22,789520,25891302,42,03-Mar-22,05-Mar-22,34,0,0,0
FMR34520302,01-Mar-22,789520,25891302,23,04-Mar-22,05-Mar-22,22,0,0,0
FMR32420602,01-Mar-22,789420,25891302,49,02-Mar-22,04-Mar-22,49,1,0,1
FMR32902402,01-Mar-22,789902,25891302,70,02-Mar-22,02-Mar-22,70,1,1,1
FMR32521302,01-Mar-22,789521,25891302,34,02-Mar-22,03-Mar-22,34,1,0,1
FMR32720302,01-Mar-22,789720,25891302,49,02-Mar-22,02-Mar-22,49,1,1,1
FMR33401603,01-Mar-22,789401,25891302,40,03-Mar-22,03-Mar-22,40,1,1,1
FMR33121302,01-Mar-22,789121,25891302,26,03-Mar-22,03-Mar-22,26,1,1,1
FMR32903403,01-Mar-22,789903,25891302,42,02-Mar-22,02-Mar-22,40,0,1,0
FMR32422302,01-Mar-22,789422,25891302,67,02-Mar-22,05-Mar-22,54,0,0,0
FMR32301302,01-Mar-22,789301,25891302,29,02-Mar-22,05-Mar-22,29,1,0,1
FMR33721603,01-Mar-22,789721,25891301,59,03-Mar-22,03-Mar-22,59,1,1,1
FMR32420403,01-Mar-22,789420,25891301,87,02-Mar-22,02-Mar-22,87,1,1,1
FMR33420301,01-Mar-22,789420,25891301,23,03-Mar-22,05-Mar-22,18,0,0,0
FMR33320501,01-Mar-22,789320,25891301,46,03-Mar-22,03-Mar-22,46,1,1,1
FMR33122301,01-Mar-22,789122,25891301,29,03-Mar-22,05-Mar-22,26,0,0,0
FMR34101301,01-Mar-22,789101,25891301,76,04-Mar-22,04-Mar-22,76,1,1,1
FMR33421301,01-Mar-22,789421,25891301,75,03-Mar-22,05-Mar-22,67,0,0,0
FMR34421301,01-Mar-22,789421,25891301,47,04-Mar-22,04-Mar-22,45,0,1,0
FMR34103403,01-Mar-22,789103,25891301,71,04-Mar-22,04-Mar-22,67,0,1,0
FMR32121301,01-Mar-22,789121,25891301,72,02-Mar-22,03-Mar-22,65,0,0,0
FMR34203601,01-Mar-22,789203,25891301,100,04-Mar-22,04-Mar-22,100,1,1,1
FMR33402303,01-Mar-22,789402,25891301,94,03-Mar-22,03-Mar-22,94,1,1,1
FMR34221301,01-Mar-22,789221,25891301,44,04-Mar-22,04-Mar-22,44,1,1,1
FMR34202301,01-Mar-22,789202,25891301,45,04-Mar-22,04-Mar-22,45,1,1,1
FMR32522301,01-Mar-22,789522,25891301,46,02-Mar-22,03-Mar-22,46,1,0,1
FMR34522403,01-Mar-22,789522,25891301,47,04-Mar-22,05-Mar-22,38,0,0,0
FMR34520301,01-Mar-22,789520,25891301,38,04-Mar-22,04-Mar-22,34,0,1,0
FMR33301301,01-Mar-22,789301,25891301,92,03-Mar-22,03-Mar-22,83,0,1,0
FMR34303602,01-Mar-22,789303,25891301,44,04-Mar-22,04-Mar-22,40,0,1,0
FMR33220603,01-Mar-22,789220,25891301,75,03-Mar-22,03-Mar-22,75,1,1,1
FMR32422301,01-Mar-22,789422,25891301,63,02-Mar-22,02-Mar-22,63,1,1,1
FMR33422301,01-Mar-22,789422,25891301,63,03-Mar-22,05-Mar-22,60,0,0,0
FMR34303602,01-Mar-22,789303,25891102,352,04-Mar-22,04-Mar-22,317,0,1,0
FMR34401102,01-Mar-22,789401,25891102,369,04-Mar-22,03-Mar-22,369,1,1,1
FMR34520302,01-Mar-22,789520,25891102,373,04-Mar-22,05-Mar-22,336,0,0,0
FMR32121102,01-Mar-22,789121,25891102,397,02-Mar-22,01-Mar-22,377,0,1,0
FMR33902203,01-Mar-22,789902,25891102,494,03-Mar-22,03-Mar-22,395,0,1,0
FMR34902102,01-Mar-22,789902,25891102,465,04-Mar-22,05-Mar-22,465,1,0,1
FMR32503401,01-Mar-22,789503,25891102,459,02-Mar-22,02-Mar-22,367,0,1,0
