district,date,month,year,visitors
Adilabad,01-01-2018,January,2018,320356
Adilabad,01-02-2018,February,2018,36550
Adilabad,01-03-2018,March,2018,23011
Adilabad,01-04-2018,April,2018,14183
Adilabad,01-05-2018,May,2018,8197
Adilabad,01-06-2018,June,2018,12052
Adilabad,01-07-2018,July,2018,24666
Adilabad,01-08-2018,August,2018,38939
Adilabad,01-09-2018,September,2018,25875
Adilabad,01-10-2018,October,2018,30257
Adilabad,01-11-2018,November,2018,49181
Adilabad,01-12-2018,December,2018,61476
Bhadradri Kothagudem ,01-01-2018,January,2018,421275
Bhadradri Kothagudem ,01-02-2018,February,2018,240634
Bhadradri Kothagudem ,01-03-2018,March,2018,421275
Bhadradri Kothagudem ,01-04-2018,April,2018,341258
Bhadradri Kothagudem ,01-05-2018,May,2018,291273
Bhadradri Kothagudem ,01-06-2018,June,2018,290512
Bhadradri Kothagudem ,01-07-2018,July,2018,220304
Bhadradri Kothagudem ,01-08-2018,August,2018,219548
Bhadradri Kothagudem ,01-09-2018,September,2018,334878
Bhadradri Kothagudem ,01-10-2018,October,2018,322974
Bhadradri Kothagudem ,01-11-2018,November,2018,253464
Bhadradri Kothagudem ,01-12-2018,December,2018,442483
Hyderabad,01-01-2018,January,2018,1978396
Hyderabad,01-02-2018,February,2018,1365837
Hyderabad,01-03-2018,March,2018,1415938
Hyderabad,01-04-2018,April,2018,1586375
Hyderabad,01-05-2018,May,2018,1189492
Hyderabad,01-06-2018,June,2018,1595067
Hyderabad,01-07-2018,July,2018,1470042
Hyderabad,01-08-2018,August,2018,1591470
Hyderabad,01-09-2018,September,2018,1508086
Hyderabad,01-10-2018,October,2018,2207478
Hyderabad,01-11-2018,November,2018,1671320
Hyderabad,01-12-2018,December,2018,1964150
Jagtial ,01-01-2018,January,2018,614082
Jagtial ,01-02-2018,February,2018,349576
Jagtial ,01-03-2018,March,2018,416716
Jagtial ,01-04-2018,April,2018,372874
Jagtial ,01-05-2018,May,2018,641363
Jagtial ,01-06-2018,June,2018,182505
Jagtial ,01-07-2018,July,2018,182473
Jagtial ,01-08-2018,August,2018,272685
